company,metric,formula,result,unit,status,limits,source
Walmart,Onsite refrigerant share of rounded operational inventory,4.08 / 14.4 * 100,28.333333333333332,%,Derived footprint share; not avoidable share,Scope1 plus market-based Scope2 only. Source reports28.4% using unrounded inputs.,walmart-footprint.json WMT01/WMT02
Walmart,Direct impact per kg R-404A leakage prevented,3922 / 1000,3.922,tCO2e per kg leakage prevented,Unit-level conditional factor,"EPA reference GWP basis; actual gas mix, leakage avoided, energy and recovery effects required.",https://www.epa.gov/hfcs/technology-transitions-gwp-reference-table
Walmart,Food disposal mass conversion,1420e6 * 0.45359237 / 1000,644101.1653999999,metric tonnes,Derived reported disposal pool,"CY2025 excludes India. Not all edible, preventable, landfilled, or methane-generating.",walmart-footprint.json food disposition
Microsoft,Water balance,13266 - 5096,8170,ML,Reported balance arithmetic,FY25 consumption; not savings or monetized local harm.,microsoft-footprint.json Table8
Microsoft,Scope1 plus market Scope2 plus Scope3,170887 + 2707428 + 18243000,21121315,tCO2e,Inventory reconciliation,"Rounds to reported21,121,000. Different from management-adjusted inventory.",microsoft-footprint.json Table1A
ExxonMobil,Approximate upstream tank/storage methane pool,142000 * 0.96 * 0.05,6816.0,tCH4/year,Company source-pool estimate,Rounded source shares total101%. Not measured eligible untreated tanks or feasible abatement.,exxon-footprint.json methane sources
ExxonMobil,VRU sensitivity if entire estimated tank pool were eligible and untreated,142000 * 0.96 * 0.05 * 0.95,6475.2,tCH4/year,Conditional engineering envelope; not achievable forecast,"Full eligibility unsupported; direct methane only; combustion, power and existing controls excluded.",exxon-footprint.json; https://www.epa.gov/natural-gas-star-program/vapor-recovery-units
ExxonMobil,Routine flaring annual volume,4e6 * 365,1460000000.0,standard cubic feet/year,Annualized reported volume,"Existing commitment; no inferred sales, net carbon benefit or fund additionality.",exxon-footprint.json flaring
Nucor,Current hot-rolled product intensity target gap,1051 - 975,76,kgCO2e/t hot-rolled steel,Current-to-target difference; not validated technical frontier,2025 actual vs2030 goal; same GSCC boundary. Already committed work included.,nucor-footprint.json N03
Nucor,Current hot-rolled product target gap percentage,(1051 - 975) / 1051 * 100,7.2312083729781165,%,Target-gap percentage; not company sustainability score,Cannot apply to23Mt cast steel. Feasible remaining deployment and investor effect unverified.,nucor-footprint.json N03
Nucor,Current-target normalized annual product difference,(1051 - 975) * 1e6 / 1000,76000.0,tCO2e/year per1Mt/year matched hot-rolled output,Analyst-normalized scenario,"1Mt is normalization, not eligible corporate output. No cumulative5-year claim.",nucor-footprint.json N03
JPMorgan route / GM exemplar,Historical cooling project simple gross-savings payback,2000000 / 760000,2.6315789473684212,years,Historical illustrative economics,"GM case not established JPMorgan borrower; excludes incentives, incremental costs, defaults and current quotes.",https://betterbuildingssolutioncenter.energy.gov/showcase-projects/general-motors-chilled-water-system-optimization-project
JPMorgan route / GM exemplar,Five-year gross savings before additional costs,760000 * 5,3800000,historical nominal USD,Conditional illustration,Assumes five full operating years and unchanged savings; not collectible net cash forecast.,jpmorgan-solutions.json GM cooling case
JPMorgan route / GM exemplar,Annual principal-only payment on historical cost over5years,2000000 / 5,400000.0,USD/year,Arithmetic repayment requirement,"No guarantee of recovery; credit, operating, administration and performance costs still required.",jpmorgan-solutions.json GM cooling case
