company,observation_id,metric,component,value,unit,period,boundary,geography,source_url,source_locator,evidence_status,assurance,caveat,full_record_file
microsoft,MSFT-01,Scope 1 and HFC component,scope1,170887,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; HFC component Table 2 p4,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","HFC is contained in Scope 1, not additive. Includes backup/site fuel, owned transport and executive air travel, refrigerants and SF6.",microsoft-footprint.json
microsoft,MSFT-01,Scope 1 and HFC component,HFC_component,70131,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; HFC component Table 2 p4,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","HFC is contained in Scope 1, not additive. Includes backup/site fuel, owned transport and executive air travel, refrigerants and SF6.",microsoft-footprint.json
microsoft,MSFT-02,Scope 2 location-based,,12030556,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Grid-average accounting; not marginal emissions or a measured causal damage estimate. Alternative to market-based Scope 2, never add both.",microsoft-footprint.json
microsoft,MSFT-03,Scope 2 market-based,,2707428,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Spot unbundled EAC purchases discontinued February 2025 and impact excluded in FY25. Increase over FY24 is partly accounting/procurement change, not solely energy growth.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,total,18243000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,categories.1_purchased_goods_services,5129000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,categories.2_capital_goods,9044000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,categories.3_fuel_energy_related,1075000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,categories.4_upstream_transport_distribution,823000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
microsoft,MSFT-04,Scope 3 GHGP category inventory,categories.5_operational_waste,14000,tCO2e,FY25: 2024-07-01 to 2025-06-30,"Global operational control, including wholly/partially owned controlled subsidiaries, owned and leased real estate/datacenters; includes relevant Activision Blizzard King activity.",Global,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2026-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf#page=3,Table 1A; methodology pp12–17,"Company-reported inventory; includes measurement and company estimation, not researcher-modeled reduction","Deloitte limited assurance review of FY25 Section 1 specified information; report dated July 9, 2026, p23. Not reasonable assurance; estimates retain inherent uncertainty.","Nearest 1,000 tonnes. Category 8 included in Scope1/2; 10/14/15 considered not relevant. Categories 1/2 include LCA and supplier/spend estimates. Cat11 is lifetime use of products sold in year, not necessarily one year of operation. Rounded components sum to reported total.",microsoft-footprint.json
